date,act.val,hw.pred.val,hw.low.range,hw.high.range,ema.pred.val,ema.low.range,ema.high.range
2010-03-01,6602,NA,NA,NA,6602,6602,6602
2010-03-02,7298,NA,NA,NA,6689,3644,9734
2010-03-03,6885,NA,NA,NA,6713.5,4762.25,8664.75
2010-03-04,7106,NA,NA,NA,6762.5625,4889.333333,8635.791667
2010-03-05,6475,NA,NA,NA,6726.617188,5007.173828,8446.060547
2010-03-06,4710,NA,NA,NA,6474.540039,3334.445313,9614.634766
2010-03-07,4573,NA,NA,NA,6236.847534,2233.562317,10240.13275
2010-03-08,6325,NA,NA,NA,6247.866592,2761.383972,9734.349213
2010-03-09,6199,NA,NA,NA,6241.758268,3164.362058,9319.154479
2010-03-10,6242,NA,NA,NA,6241.788485,3506.207678,8977.369291
2010-03-11,6805,NA,NA,NA,6312.189924,3603.76216,9020.617688
2010-03-12,6054,NA,NA,NA,6279.916184,3715.019951,8844.812416
2010-03-13,4677,NA,NA,NA,6079.551661,3144.000256,9015.103066
2010-03-14,5685,NA,NA,NA,6030.232703,3187.711136,8872.754271
2010-03-15,8287,NA,NA,NA,6312.328615,2967.604522,9657.052708
2010-03-16,7735,NA,NA,NA,6490.162538,2953.474231,10026.85085
2010-03-17,6736,NA,NA,NA,6520.892221,3138.025752,9903.75869
2010-03-18,7020,NA,NA,NA,6583.280693,3270.959515,9895.601872
2010-03-19,8196,NA,NA,NA,6784.870607,3264.586884,10305.15433
2010-03-20,8570,NA,NA,NA,7008.011781,3261.956618,10754.06694
2010-03-21,6361,NA,NA,NA,6927.135308,3226.849076,10627.42154
2010-03-22,8161,NA,NA,NA,7081.368395,3300.231125,10862.50566
2010-03-23,8068,NA,NA,NA,7204.697345,3399.224803,11010.16989
2010-03-24,6460,NA,NA,NA,7111.610177,3329.938576,10893.28178
2010-03-25,6446,NA,NA,NA,7028.408905,3282.971765,10773.84604
2010-03-26,5692,NA,NA,NA,6861.357792,3031.86658,10690.849
2010-03-27,4454,NA,NA,NA,6560.438068,2473.150735,10647.7254
2010-03-28,4640,NA,NA,NA,6320.383309,2073.294895,10567.47172
2010-03-29,6443,NA,NA,NA,6335.710396,2221.144852,10450.27594
2010-03-30,6136,NA,NA,NA,6310.746596,2307.9339,10313.55929
2010-03-31,5843,NA,NA,NA,6252.278272,2314.67962,10189.87692
2010-04-01,5553,NA,NA,NA,6164.868488,2255.600681,10074.13629
2010-04-02,5015,NA,NA,NA,6021.134927,2076.823157,9965.446697
2010-04-03,4422,NA,NA,NA,5821.243061,1784.449366,9858.036756
2010-04-04,5125,NA,NA,NA,5734.212678,1726.55811,9741.867247
2010-04-05,7319,NA,NA,NA,5932.311094,1841.062526,10023.55966
2010-04-06,6880,NA,NA,NA,6050.772207,1957.998906,10143.54551
2010-04-07,7739,NA,NA,NA,6261.800681,2080.021345,10443.58002
2010-04-08,7359,NA,NA,NA,6398.950596,2200.895795,10597.0054
2010-04-09,5997,NA,NA,NA,6348.706771,2213.203789,10484.20975
2010-04-10,4519,NA,NA,NA,6119.993425,1887.753839,10352.23301
2010-04-11,5087,NA,NA,NA,5990.869247,1751.62706,10230.11143
2010-04-12,5368,NA,NA,NA,5913.010591,1709.820529,10116.20065
2010-04-13,6505,NA,NA,NA,5987.009267,1821.33633,10152.6822
2010-04-14,6355,NA,NA,NA,6033.008109,1925.419569,10140.59665
2010-04-15,6351,NA,NA,NA,6072.757095,2025.532423,10119.98177
2010-04-16,5747,NA,NA,NA,6032.037458,2041.813598,10022.26132
2010-04-17,4420,NA,NA,NA,5830.532776,1775.150618,9885.914934
2010-04-18,4784,NA,NA,NA,5699.716179,1633.434047,9765.998311
2010-04-19,5973,NA,NA,NA,5733.876657,1726.179533,9741.57378
2010-04-20,6229,NA,NA,NA,5795.767075,1824.900601,9766.633548
2010-04-21,6736,NA,NA,NA,5913.29619,1939.632608,9886.959773
2010-04-22,6320,NA,NA,NA,5964.134166,2032.669323,9895.59901
2010-04-23,5607,NA,NA,NA,5919.492396,2032.725719,9806.259072
2010-04-24,4116,NA,NA,NA,5694.055846,1733.150048,9654.961644
