Date,Total Number of Visitors
2013-07-31,6453
2013-07-30,7225
2013-07-29,7095
2013-07-28,3399
2013-07-27,3342
2013-07-26,5806
2013-07-25,6861
2013-07-24,7579
2013-07-23,7967
2013-07-22,7623
2013-07-21,4006
2013-07-20,3623
2013-07-19,6808
2013-07-18,8739
2013-07-17,10458
2013-07-16,14251
2013-07-15,7038
2013-07-14,3487
2013-07-13,3698
2013-07-12,6333
2013-07-11,7329
2013-07-10,8170
2013-07-09,9137
2013-07-08,10557
2013-07-07,3882
2013-07-06,3316
2013-07-05,4743
2013-07-04,3982
2013-07-03,6476
2013-07-02,6873
2013-07-01,6819
2013-06-30,3919
2013-06-29,2822
2013-06-28,5306
2013-06-27,6520
2013-06-26,6902
2013-06-25,7363
2013-06-24,6847
2013-06-23,3526
2013-06-22,2865
2013-06-21,5369
2013-06-20,6950
2013-06-19,6808
2013-06-18,6646
2013-06-17,6569
2013-06-16,3418
2013-06-15,2724
2013-06-14,5276
2013-06-13,6471
2013-06-12,6242
2013-06-11,6548
2013-06-10,6494
2013-06-09,3372
2013-06-08,3109
2013-06-07,5932
2013-06-06,7145
2013-06-05,7362
2013-06-04,7484
2013-06-03,8269
2013-06-02,3342
2013-06-01,3839
2013-05-31,5840
2013-05-30,7397
2013-05-29,7990
2013-05-28,8351
2013-05-27,3660
2013-05-26,2758
2013-05-25,2673
2013-05-24,6603
2013-05-23,9826
2013-05-22,8184
2013-05-21,8116
2013-05-20,7100
2013-05-19,3200
2013-05-18,2591
2013-05-17,5612
2013-05-16,8005
2013-05-15,8145
2013-05-14,9312
2013-05-13,9464
2013-05-12,3946
2013-05-11,4261
2013-05-10,12736
2013-05-09,13134
2013-05-08,8284
2013-05-07,7613
2013-05-06,7428
2013-05-05,4146
2013-05-04,4401
2013-05-03,7450
2013-05-02,8276
2013-05-01,7220
2013-04-30,9494
2013-04-29,9483
2013-04-28,3913
2013-04-27,3388
2013-04-26,6268
2013-04-25,7944
2013-04-24,8038
2013-04-23,8533
2013-04-22,7949
2013-04-21,3669
2013-04-20,2992
2013-04-19,5761
2013-04-18,7225
2013-04-17,7932
2013-04-16,7908
2013-04-15,7627
2013-04-14,3790
2013-04-13,3166
2013-04-12,5957
2013-04-11,7318
2013-04-10,7799
2013-04-09,8412
2013-04-08,12301
2013-04-07,3722
2013-04-06,3064
2013-04-05,6352
2013-04-04,7380
2013-04-03,7720
2013-04-02,7849
2013-04-01,7077
2013-03-31,3516
2013-03-30,2895
2013-03-29,5483
2013-03-28,7029
2013-03-27,7218
2013-03-26,7557
2013-03-25,7294
2013-03-24,3628
2013-03-23,3052
2013-03-22,6061
2013-03-21,7627
2013-03-20,7494
2013-03-19,7886
2013-03-18,8075
2013-03-17,3670
2013-03-16,3074
2013-03-15,5663
2013-03-14,7718
2013-03-13,7690
2013-03-12,8526
2013-03-11,8284
2013-03-10,3423
2013-03-09,3324
2013-03-08,6835
2013-03-07,8713
2013-03-06,9592
2013-03-05,8795
2013-03-04,8412
2013-03-03,4370
2013-03-02,3137
2013-03-01,6031
2013-02-28,7380
2013-02-27,8934
2013-02-26,8085
2013-02-25,7023
2013-02-24,3816
2013-02-23,3350
2013-02-22,6155
2013-02-21,7057
2013-02-20,7749
2013-02-19,7670
2013-02-18,6002
2013-02-17,3671
2013-02-16,2959
2013-02-15,5773
2013-02-14,7455
2013-02-13,7294
2013-02-12,8493
2013-02-11,9451
2013-02-10,3478
2013-02-09,2739
2013-02-08,5775
2013-02-07,7001
2013-02-06,7844
2013-02-05,8052
2013-02-04,7725
2013-02-03,3886
2013-02-02,3654
2013-02-01,6246
2013-01-31,7166
2013-01-30,7668
2013-01-29,6886
2013-01-28,6924
2013-01-27,3521
2013-01-26,2881
2013-01-25,5343
2013-01-24,6086
2013-01-23,6269
2013-01-22,6071
2013-01-21,4212
2013-01-20,2527
2013-01-19,2069
2013-01-18,4357
2013-01-17,5946
2013-01-16,5965
2013-01-15,5852
2013-01-14,5484
2013-01-13,2584
2013-01-12,2074
2013-01-11,4933
2013-01-10,6265
2013-01-09,5803
2013-01-08,6071
2013-01-07,5718
2013-01-06,2200
2013-01-05,2017
2013-01-04,4636
2013-01-03,5049
2013-01-02,4551
2013-01-01,1693
2012-12-31,2356
2012-12-30,1845
2012-12-29,1728
2012-12-28,3362
2012-12-27,4296
2012-12-26,3602
2012-12-25,1580
2012-12-24,1887
